title,director,director gender,distributor,id,rating score,title_imdb,release_date,directors,cast,countries,languages,rating,imDbRating,imDbRatingVotes,metacriticRating,budget,cumulativeWorldwideGross,keywords,awards
Enter the Anime,,,Netflix,tt10662450,2/10,Enter the Anime,2019-08-05,Alex Burunova,"Shinji Aramaki, Kôzô Morishita, Tania Nolan","USA, Japan",Japanese,,2.6,1670.0,,,,,
Misfit,Erwin van den Eshof,male,"NewBeTV, Splendid Film",tt7109106,,Misfit,2017-09-27,Erwin van den Eshof,"Djamila, Bente Fokkens, Niek Roozen",Netherlands,Dutch,,4.3,416.0,,,"$1,963,049","school,remade","Awards, 1 win"
Léa & I,Camille Shooshani,female,Netflix,tt9382396,,Léa & I,2019-08-02,Camille Shooshani,"Léa Moret, Camille Shooshani",,English,,6.5,218.0,,,,travel,
Uriyadi 2,Vijay Kumar,male,2D Entertainment,tt10121762,,Uriyadi 2,2019-04-05,Vijay Kumar,"Vijay Kumar, Vismaya, Sudhakar",India,Tamil,Not Rated,7.1,894.0,,,"$17,027",factory,
Manu,,,,,,,,,,,,,,,,,,,
The Red Sea Diving Resort,Gideon Raff,male,Netflix,tt4995776,29%,The Red Sea Diving Resort,2019-07-31,Gideon Raff,"Mbulelo Grootboom, Sizo Mahlangu, Michael Kenneth Williams",Canada,"English, Amharic",TV-MA,6.6,29284.0,29.0,,,"1980s,based on true story,refugee,ethiopian jew,refugee camp",
Boi,,,Netflix,tt9010900,,,,,,,,,,,,,,,
Eerie,Mikhail Red,male,Netflix,tt8723216,,,,,,,,,,,,,,,
The Son,Luc Dardenne,male,Lucky Red Distribuzione,tt0291172,88%,,,,,,,,,,,,,,
D.L. Hughley: Contrarian,Jay Chapman,male,Netflix,tt8426270,,D.L. Hughley: Contrarian,2018-09-18,Jay Chapman,D.L. Hughley,USA,English,,6.6,612.0,,,,"stand up comedy,stand up,stand up comedian,me too movement,tv special",
The Midas Touch,Peter Manoogian,male,MOKÉP,tt0095086,,,,,,,,,,,,,,,
The Twins Effect II,Corey Yuen,male,Netflix,tt0398373,,The Twins Effect II,2004-08-12,"Patrick Leung, Corey Yuen","Charlene Choi, Gillian Chung, Ying Qu","Hong Kong, China",Cantonese,Not Rated,4.8,2590.0,,,"$2,481,929","deception,empress,swordsman,king,female warrior","Awards, 4 nominations"
Twins Mission,To-Hoi Kong,,Sundream Motion Pictures,tt0934949,,Twins Mission,2007-02-15,To-Hoi Kong,"Sammo Kam-Bo Hung, Gillian Chung, Charlene Choi","Hong Kong, China","Cantonese, English, Filipino, Afrikaans",Not Rated,5.2,699.0,,,"$793,102",female bodybuilder,"Awards, 2 nominations"
Secret Obsession,Peter Sullivan,male,Netflix,tt9419834,2.8/10,Secret Obsession,2019-07-18,Peter Sullivan,"Brenda Song, Mike Vogel, Dennis Haysbert",USA,English,TV-14,4.4,21801.0,,,,"obsession,bare chested male,violence",
Mauli,Aditya Sarpotdar,male,Mumbai Film Company,tt8826936,,Mauli,2018-12-14,Aditya Sarpotdar,"Riteish Deshmukh, Saiyami Kher, Jitendra Joshi",India,Marathi,,5.5,378.0,,,,revenge,
Bogda,,,Nittin Keni Creations,tt6685074,,Bogda,2018-09-07,Nisheeta Keni,"Mrunmayee Deshpande, Rohit Kokate, Ajinkya Bhosale",India,Marathi,,7.2,52.0,,,,trip,
Cities of Last Things,Wi Ding Ho,male,Netflix,tt4397342,6.5/10,Cities of Last Things,2019-07-11,Wi Ding Ho,"Jack Kao, Hong-Chi Lee, Louise Grinberg","Taiwan, China, France, USA","Mandarin, English, French",TV-MA,6.2,1689.0,66.0,,,"written by director,three stories,near future,suicide,bus","Awards, 6 wins & 22 nominations"
Kidnapping Stella,Thomas Sieben,male,Netflix,tt8613876,,Kidnapping Stella,2019-07-12,Thomas Sieben,"Max von der Groeben, Jella Haase, Clemens Schick",Germany,German,TV-MA,4.9,6081.0,,,,"kidnapping,remake,remake of british film,character name in title,tied feet","Awards, 1 nomination"
Point Blank,John Boorman,male,Metro-Goldwyn-Mayer,tt0062138,8.3/10,,,,,,,,,,,,,,
Katherine Ryan: Glitter Room,Linda Mendoza,female,Netflix,tt10438648,,Katherine Ryan: Glitter Room,2019-07-01,Linda Mendoza,Katherine Ryan,USA,English,TV-MA,6.8,1989.0,,,,"tv special,stand up comedy",
Inhuman Kiss,,,"Nakid, CJ Major Entertainment, M Pictures",tt9799992,,Sang Krasue,2019-03-14,Sitisiri Mongkolsiri,"Phantira Pipityakorn, Oabnithi Wiwattanawarang, Sapol Assawamunkong",Thailand,Thai,,6.4,1804.0,,"$1,200,000 (estimated)","$171,229",,"Awards, 1 nomination"
Romeo Akbar Walter,,,Netflix,tt8550208,15%,Romeo Akbar Walter,2019-04-05,Robbie Grewal,"John Abraham, Mouni Roy, Jackie Shroff",India,Hindi,Not Rated,6.6,5844.0,,,"$6,111,065","banker,timeframe 1970s,1970s,indo pakistani war of 1971,india",
Super Deluxe,Thiagarajan Kumararaja,male,Y NOT Studios,tt7019942,8.3/10,,,,,,,,,,,,,,
El testigo,,,"Pacha Films, Ronachan Films, Horne Productions",tt9149838,,El testigo,2018-10-25,Kate Horne,Jesús Abad Colorado,"Colombia, Peru, UK",Spanish,,8.1,220.0,,,"$8,071","memory,photography","Awards, 2 nominations"
Daniel Sosa: Maleducado,,,Netflix,tt10438652,,Daniel Sosa: Maleducado,2019-06-27,"Marcos Bucay, Alex Díaz",Daniel Sosa,Mexico,Spanish,TV-MA,6.2,76.0,,,,"tv special,stand up comedy",
Kahaani,Sujoy Ghosh,male,Viacom 18 Motion Pictures,tt1821480,100%,Kahaani,2012-03-09,Sujoy Ghosh,"Vidya Balan, Parambrata Chattopadhyay, Indraneil Sengupta",India,Hindi,Not Rated,8.1,62812.0,,,"$459,234","durga puja festival,missing husband,female protagonist,terrorism,actress shares first name with character","Awards, 24 wins & 26 nominations"
Mike Epps: Only One Mike,Kevin Bray,male,Netflix,tt10376958,,Mike Epps: Only One Mike,2019-06-25,Kevin Bray,Mike Epps,USA,English,TV-14,4.7,308.0,,,,"tv special,stand up comedy",
Triple Threat,Jean Yarbrough,male,Columbia Pictures,tt0040904,,,,,,,,,,,,,,,
Blood Will Tell,Thomas H. Ince,male,,tt0418550,,,,,,,,,,,,,,,
Rakkhosh,Abhijit Kokate,male,,tt6018556,,,,,,,,,,,,,,,
The Wolf's Call,Antonin Baudry,male,Pathé,tt7458762,85%,Le chant du loup,2019-06-20,Antonin Baudry,"François Civil, Omar Sy, Mathieu Kassovitz",France,French,TV-14,6.9,17903.0,,,"$12,652,790","submarine,french army,nuclear attack,female nudity,nudity","Awards, 1 win & 2 nominations"
Beats,Chris Robinson,male,Netflix,tt8530978,89%,Beats,2019-06-19,Chris Robinson,"Khalil Everage, Evan J. Simpson, Ashley Jackson",USA,English,TV-MA,6.3,5280.0,,,,,"Awards, 1 nomination"
Cop Car,Jon Watts,male,Focus Features,tt3813310,7.1/10,Cop Car,2015-08-07,Jon Watts,"Kevin Bacon, James Freedson-Jackson, Hays Wellford",USA,English,R,6.3,33321.0,66.0,"$800,000 (estimated)","$143,658","sheriff,stealing a car,police car,child uses a gun,child with a gun","Awards, 1 win & 4 nominations"
Luckee,Sanjay Jadhav,male,Dreaming Twenty Four Seven,tt9466786,,Luckee,2019-02-07,Sanjay Jadhav,"Abhay Mahajan, Deepti Sati, Chetan Dalvi",India,Marathi,,4.6,47.0,,,,journey,
Pihu,Vinod Kapri,male,,tt8458202,67%,,,,,,,,,,,,,,
Murder Mystery,Kyle Newacheck,male,Netflix,tt1618434,4.7/10,Murder Mystery,2019-06-14,Kyle Newacheck,"Adam Sandler, Jennifer Aniston, Luke Evans","USA, Italy, Canada","English, French, Latin, Spanish",PG-13,6.0,126303.0,38.0,,,"murder,boat,detective,pokies,lie","Awards, 1 win & 6 nominations"
The 3rd Eye 2,Rocky Soraya,,Netflix,tt8890582,,The 3rd Eye 2,2019-01-17,Rocky Soraya,"Jessica Mila, Nabilah Ratna Ayu Azalia, Sophia Latjuba",Indonesia,Indonesian,,5.4,614.0,,,,asian horror,
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,Martin Scorsese,male,Netflix,tt9577852,93,Rolling Thunder Revue,2019-06-12,Martin Scorsese,"Bob Dylan, Allen Ginsberg, Patti Smith",USA,English,TV-MA,7.6,6818.0,86.0,,,"hare krishna,bob dylan,american history,mockumentary,archive footage","Awards, 3 wins & 12 nominations"
Belmonte,Federico Veiroj,male,"Charles Barthe, Cinekdoque, Corazón Films",tt8846072,87,Belmonte,2018-11-15,Federico Veiroj,"Gonzalo Delgado, Olivia Molinaro Eijo, Jeannette Sauksteliskis","Uruguay, Spain, Mexico",Spanish,,6.1,385.0,,,"$7,184","one word title,painting,painter,nude painting,penis","Awards, 1 win & 5 nominations"
Elisa & Marcela,Isabel Coixet,female,Netflix,tt6704898,5.8/10,Elisa & Marcela,2019-06-07,Isabel Coixet,"Natalia de Molina, Greta Fernández, Sara Casasnovas",Spain,"Spanish, Portuguese",TV-MA,6.6,4939.0,33.0,,,"female nudity,bare breasts,bare butt,female full frontal nudity,lesbianism","Awards, 3 wins & 12 nominations"
I Am Mother,Grant Sputore,male,Netflix,tt6292852,7/10,I Am Mother,2019-06-07,Grant Sputore,"Luke Hawker, Rose Byrne, Maddie Lenton",Australia,English,TV-14,6.7,90586.0,64.0,,"$643,593","robot,mother,repopulation,teenage girl,shelter","Awards, 4 wins & 5 nominations"
Luka Chuppi,Laxman Utekar,male,Netflix,tt8908002,4.6/10,Luka Chuppi,2019-03-01,Laxman Utekar,"Kartik Aaryan, Kriti Sanon, Aparshakti Khurana",India,Hindi,Not Rated,6.3,11707.0,,,"$14,256,199","live in relationship,couple","Awards, 1 win & 5 nominations"
Rock My Heart,Hanno Olderdissen,male,Netflix,tt5870322,,,,,,,,,,,,,,,
Stree,V. Shantaram,male,Netflix,tt8108202,6.3/10,Stree,2018-08-31,Amar Kaushik,"Rajkummar Rao, Shraddha Kapoor, Pankaj Tripathi",India,Hindi,Not Rated,7.5,33740.0,,,"$22,075,730","vengeful ghost,mysterious woman,father son relationship,friendship,prostitute","Awards, 11 wins & 25 nominations"
The Black Godfather,John Evans,male,Netflix,tt10289996,100%,The Black Godfather,2019-06-07,Reginald Hudlin,"Clarence Avant, Hank Aaron, Gwen Adolph",USA,English,TV-MA,7.4,1377.0,69.0,,,"life,music industry,record label,fixer,sussex records","Nominated for 1 Primetime Emmy, 4 wins & 5 nominations total"
Alles ist gut,Eva Trobisch,female,,tt7776430,100%,,,,,,,,,,,,,,
III Smoking Barrels,Sanjib Dey,,Panorama Studios,tt5791986,,III Smoking Barrels,2019-06-01,Sanjib Dey,"Subrat Dutta, Indraneil Sengupta, Mandakini Goswami",India,"English, Hindi, Bengali, Assamese, Manipuri",,6.6,126.0,,,,inspired by true events,"Awards, 7 wins & 9 nominations"
"Oh, Ramona!",Cristina Jacob,female,Netflix,tt7200946,,"Oh, Ramona!",2019-06-01,Cristina Jacob,"Basil Eidenbenz, Aggy K. Adams, Holly Horne",Romania,English,,4.8,8980.0,,,"$1,200,582","adolescence,name in title,coming of age,slow motion scene,sexual attraction",
We Are Legends,Daniel Chan,male,Netflix,tt10076722,,We Are Legends,2019-03-19,Daniel Yee Heng Chan,"Lisa Cheng, Eric Kot, Winkie Lai",Hong Kong,Cantonese,,5.2,200.0,,,"$56,560",,
Chopsticks,Sachin Yardi,male,Netflix,tt10243678,17,Chopsticks,2019-05-31,Sachin Yardi,"Abhay Deol, Mithila Palkar, Vijay Raaz",India,Hindi,,6.5,4770.0,,,,"internet,independent film",
Mere Pyare Prime Minister,Rakeysh Omprakash Mehra,male,,tt8207768,,,,,,,,,,,,,,,
Pegasus,Mohamed Mouftakir,male,China Media Capital,tt9597190,,Pegasus,2019-02-05,Han Han,"Teng Shen, Johnny Huang, Zheng Yin",China,"Mandarin, Chinese",,6.3,1846.0,,,"$255,863,112",champion,"Awards, 1 win & 11 nominations"
Svaha: The Sixth Finger,Jang Jae-hyun,male,CJ Entertainment,tt7299298,,Svaha: The Sixth Finger,2019-02-20,Jae-hyun Jang,"Lee Jung-jae, Yoo Ji-tae, Jeong Min Park",South Korea,"Korean, English",Not Rated,6.2,4022.0,,,"$17,607,783","murder,religious horror,pagan cult,ritual,religious hypocrisy","Awards, 4 wins & 20 nominations"
Joy,Mijke de Jong,female,Netflix,tt8917752,6.7/10,Joy,2019-05-24,Sudabeh Mortezai,"Anwulika Alphonsus, Mariam Sanusi, Angela Ekeleme",Austria,"English, German",TV-MA,6.6,1324.0,75.0,,,"sex trafficking,prostitutes,nigeria,austria,strong female character","Awards, 15 wins & 8 nominations"
Rim of the World,McG,male,Netflix,tt8179388,4.1/10,Rim of the World,2019-05-24,McG,"Jack Gore, Miya Cech, Benjamin Flores Jr.",USA,"English, Chinese",TV-14,5.2,24163.0,,,,"summer camp,alien,camp counselor,group of four,alien invasion",
The Perfection,Richard Shepard,male,Netflix,tt7772580,6.6/10,,,,,,,,,,,,,,
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Akiva Schaffer,male,Netflix,tt10376068,100%,The Unauthorized Bash Brothers Experience,2019-05-23,"Mike Diva, Akiva Schaffer","Andy Samberg, Akiva Schaffer, Jorma Taccone",USA,English,TV-MA,6.9,5253.0,,,,,
Maria,Alexander Sokurov,male,Netflix,tt7594584,,Maria,2019-03-27,Pedring Lopez,"Cristine Reyes, Germaine De Leon, KC Montero",Philippines,"Tagalog, Filipino, English",TV-MA,5.0,2093.0,,"$1,200,000 (estimated)",,"martial arts,one woman army,murder,torture,blood","Awards, 1 win & 9 nominations"
See You Yesterday,Stefon Bristol,male,Netflix,tt8743064,7.3/10,See You Yesterday,2019-05-17,Stefon Bristol,"Eden Duncan-Smith, Dante Crichlow, Astro",USA,English,TV-MA,5.2,10856.0,74.0,,,"overalls,time loop,killed by police,geek,best friend","Awards, 2 wins & 2 nominations"
Good Sam,Kate Melville,female,RKO Pictures,tt0040395,,,,,,,,,,,,,,,
Jonaki,Aditya Vikram Sengupta,male,,,,,,,,,,,,,,,,,
Hamid,,,"Saregama India, Yoodlee Films",tt7527082,,Hamid,2019-03-15,Aijaz Khan,"Talha Arshad Reshi, Vikas Kumar, Rasika Dugal",India,"Urdu, Hindi",,7.7,1229.0,,,"$23,191","kashmir,god,compassion","Awards, 5 wins & 5 nominations"
Backdraft 2,Gonzalo López-Gallego,male,"1440 Productions UK, Imagine Entertainment, Raffaella Productions",tt8172466,2/10,Backdraft 2,2019-05-14,Gonzalo López-Gallego,"Joe Anderson, William Baldwin, Donald Sutherland","USA, Belgium",English,R,4.9,2198.0,,,,"sequel,second part,firefighter,funeral,halloween costume",
Dry Martina,Che Sandoval,male,Netflix,tt6312802,6.7/10,Dry Martina,2019-03-15,Che Sandoval,"Antonella Costa, Patricio Contreras, Geraldine Neary","Chile, Argentina",Spanish,,5.8,1005.0,,,"$3,774","female protagonist,female name in title,sexual desire,frigid woman,libido","Awards, 5 nominations"
Shéhérazade,Pierre Gaspard-Huit,male,Netflix,tt8459250,,,,,,,,,,,,,,,
The Great Magician,Derek Yee,male,Netflix,tt1869721,,The Great Magician,2011-12-22,Tung-Shing Yee,"Tony Chiu-Wai Leung, Ching Wan Lau, Xun Zhou","Hong Kong, China",Mandarin,Not Rated,5.9,1788.0,,"$15,000,000 (estimated)","$1,738,798",,"Awards, 2 wins & 3 nominations"
In Family I Trust,Patricia Font,female,Corporació Catalana de Mitjans Audiovisuals,tt6869362,,,,,,,,,,,,,,,
Wine Country,Amy Poehler,female,Netflix,tt8169446,5.9/10,Wine Country,2019-05-10,Amy Poehler,"Amy Poehler, Rachel Dratch, Ana Gasteyer",USA,English,R,5.4,21361.0,56.0,,,"reference to fran drescher,reference to billy bob thornton,group of friends,f rated,overalls","Awards, 1 nomination"
Despite Everything,Gabriela Tagliavini,female,Netflix,tt9150970,20%,Despite Everything,2019-05-03,Gabriela Tagliavini,"Blanca Suárez, Macarena García, Amaia Salamanca",Spain,"Spanish, French, English",TV-MA,5.3,5043.0,,,,funeral,
"Extremely Wicked, Shockingly Evil and Vile",Joe Berlinger,male,Big Bang Media,tt2481498,5.7/10,"Extremely Wicked, Shockingly Evil and Vile",2019-05-03,Joe Berlinger,"Lily Collins, Zac Efron, Angela Sarafyan",USA,English,R,6.7,93048.0,52.0,,"$9,816,572","killer as protagonist,serial killer as protagonist,death penalty,claiming innocence,ted bundy","Awards, 5 wins & 5 nominations"
Jo Pil-ho: The Dawning Rage,Lee Jeong-beom,male,Netflix,tt7738048,,,,,,,,,,,,,,,
The Last Summer,Joost Wynant,male,,tt0494969,,,,,,,,,,,,,,,
Laatu,,,Seven Colors Motion Pictures,tt8983240,,Laatu,2018-11-16,"Manav Shah, Manav Shah","Gagan Kokri, Aditi Dev Sharma, Karamjit Anmol",India,Punjabi,TV-Y7,6.5,106.0,,,"$10,208",revolution,"Awards, 2 nominations"
Olympus Has Fallen,Antoine Fuqua,male,FilmDistrict,tt2302755,50%,Olympus Has Fallen,2013-03-22,Antoine Fuqua,"Gerard Butler, Aaron Eckhart, Morgan Freeman",USA,"English, Korean",R,6.5,275359.0,41.0,"$70,000,000 (estimated)","$170,270,201","politics,political thriller,political assassination,president,speaker of the house","Awards, 1 win & 5 nominations"
John & Yoko: Above Us Only Sky,Michael Epstein,male,Eagle Rock Film Productions,tt8965432,,John & Yoko: Above Us Only Sky,2019-03-10,Michael Epstein,"John Lennon, Diana Robertson, Ray Connolly",UK,English,,7.4,1831.0,,,,,"Awards, 1 win & 1 nomination"
Munafik 2,Syamsul Yusof,male,Netflix,tt7059506,,Munafik 2,2018-08-29,Syamsul Yusof,"Syamsul Yusof, Maya Karin, Nasir Bilal Khan",Malaysia,Malay,,5.5,1707.0,,MYR 2 (estimated),,,"Awards, 1 win & 3 nominations"
Money Trap,Yılmaz Erdoğan,male,Netflix,tt8442644,,Money Trap,2019-02-01,Yilmaz Erdogan,"Yilmaz Erdogan, Kivanç Tatlitug, Ezgi Mola",Turkey,Turkish,,6.0,14654.0,,,"$9,831,515","deep cleavage,fraud,father daughter estrangement,swindling,istanbul turkey","Awards, 2 wins & 27 nominations"
Njan Prakashan,Sathyan Anthikad,male,Full Moon Cinema,tt8286926,,Njan Prakashan,2018-12-28,Sathyan Anthikad,"Fahadh Faasil, Sreenivasan, Nikhila Vimal",India,"Malayalam, German",Not Rated,7.7,4469.0,,,"$86,540",scam,"Awards, 3 wins & 4 nominations"
A Fortunate Man,Bille August,male,Netflix,tt8436026,86,A Fortunate Man,2018-08-30,Bille August,"Esben Smed, Katrine Greis-Rosenthal, Benjamin Kitter",Denmark,"Danish, German",TV-14,7.2,6277.0,,"DKK 55,000,000 (estimated)",,"engineer,copenhagen denmark,religion,19th century,jewish family","Awards, 5 wins & 13 nominations"
Music Teacher,Halyna Kuvivchak-Sakhno,female,,tt2820452,,,,,,,,,,,,,,,
Someone Great,Jennifer Kaytin Robinson,female,Netflix,tt8075260,83%,Someone Great,2019-04-19,Jennifer Kaytin Robinson,"Gina Rodriguez, LaKeith Stanfield, Brittany Snow",USA,English,R,6.1,22579.0,63.0,"$5,000,000 (estimated)",,"f word,no opening credits,no title at beginning,new york city,reference to barbra streisand",
The Ruthless,Renato De Maria,male,Netflix,tt9239888,,The Ruthless,2019-04-08,Renato De Maria,"Riccardo Scamarcio, Sara Serraiocco, Alessio Praticò","Italy, France",Italian,TV-MA,6.2,6300.0,,,,"female nudity,topless female nudity,female full rear nudity,male full rear nudity,sex scene","Awards, 1 win & 1 nomination"
A Little Chaos,Alan Rickman,male,Netflix,tt2639254,5.4/10,A Little Chaos,2015-06-26,Alan Rickman,"Kate Winslet, Alan Rickman, Stanley Tucci",UK,English,R,6.5,23328.0,51.0,,"$10,084,623","17th century,versailles,garden,king louis xiv,landscape designer","Awards, 2 nominations"
About Time,Richard Curtis,male,Universal Pictures,tt2194499,69%,About Time,2013-11-08,Richard Curtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy","UK, USA",English,R,7.8,344851.0,55.0,"$12,000,000 (estimated)","$87,100,449","time travel,father son relationship,family relationships,wedding,marriage","Awards, 3 wins & 9 nominations"
Bollywood Calling,Nagesh Kukunoor,male,Pritish Nandy Communications (PNC),tt0303733,,Bollywood Calling,2001-11-23,Nagesh Kukunoor,"Pat Cusick, Navin Nischol, Om Puri",India,English,Not Rated,6.3,385.0,,,,"spoof,film producer,filmmaking,american abroad,satire",
Ek Khiladi Ek Haseena,Suparn Verma,male,Pritish Nandy Communications,tt0461209,,Ek Khiladi Ek Haseena,2005-11-18,Suparn Varma,"Fardeen Khan, Koena Mitra, Kay Kay Menon",India,Hindi,,5.8,635.0,,,"$90,869","team,psychiatrist,friend,shower,red dress",
Hazaaron Khwaishein Aisi,Sudhir Mishra,male,"Artcam International, Foundation Montecinema Verità, National Center of Cinematography Fonds Sud",tt0411469,,Hazaaron Khwaishein Aisi,2005-04-15,Sudhir Mishra,"Kay Kay Menon, Shiney Ahuja, Chitrangda Singh","India, France","Hindi, English",,7.9,4963.0,,,,"friend,timeframe 1970s","Awards, 7 wins & 9 nominations"
Jhankaar Beats,Sujoy Ghosh,male,Pritish Nandy Communications,tt0347278,,Jhankaar Beats,2003-06-20,Sujoy Ghosh,"Sanjay Suri, Rahul Bose, Juhi Chawla",India,"Hindi, English",,7.1,2083.0,,,"$527,834","advertising,pregnant wife,music contest,divorce,condom","Awards, 3 wins & 11 nominations"
Mumbai Matinee,Anant Balani,male,Pritish Nandy Communications,tt0382188,,Mumbai Matinee,2003-09-26,Anant Balani,"Rahul Bose, Perizaad Zorabian, Vijay Raaz",India,"English, Hindi",,5.1,291.0,,,"$278,399","virgin,sex,sexual frustration,male virgin,loss of virginity","Awards, 2 nominations"
Shabd,Leena Yadav,female,Netflix,tt0409527,,Shabd,2005-02-04,Leena Yadav,"Sanjay Dutt, Aishwarya Rai Bachchan, Zayed Khan",India,Hindi,,5.1,1455.0,,,"$143,655","f rated,one word title,avant garde,writer,writer&apos;s block","Awards, 2 nominations"
Shortcut Safari,Amitabha Singh,male,,tt4505006,,,,,,,,,,,,,,,
The Perfect Date,Dominique Farrugia,male,,tt1560993,,,,,,,,,,,,,,,
The Silence,Ingmar Bergman,male,SF Studios,tt0057611,8.2/10,,,,,,,,,,,,,,
Alien Warfare,,,Netflix,tt9562694,,Alien Warfare,2019-04-05,Jeremiah Jones,"Clayton Snyder, David B. Meadows, Daniel Washington",USA,English,Not Rated,2.6,3543.0,,,,"navy seal,alien,alien artifact,soldier,secret base",
Petta,Karthik Subbaraj,male,Sun Pictures,tt8959820,6/10,Petta,2019-01-09,Karthik Subbaraj,"Rajinikanth, Vijay Sethupathi, Nawazuddin Siddiqui",India,Tamil,Not Rated,7.2,10312.0,,₹100 (estimated),"$1,996,655","opening action scene,martial arts,hostel,warden,hand to hand combat","Awards, 5 nominations"
Unicorn Store,Brie Larson,female,Netflix,tt2338454,6/10,,,,,,,,,,,,,,
Suzzanna: Buried Alive,,,Netflix,tt9044128,,Suzzana: Buried Alive,2018-11-15,"Rocky Soraya, Anggy Umbara","Luna Maya, Herjunot Ali, T. Rifnu Wikana",Indonesia,Indonesian,TV-MA,5.5,943.0,,,,revenge,"Awards, 2 wins & 6 nominations"
Ek Ladki Ko Dekha Toh Aisa Laga,,,Star Studios,tt8108164,6.9/10,Ek Ladki Ko Dekha Toh Aisa Laga,2019-02-01,Shelly Chopra Dhar,"Sonam Kapoor, Anil Kapoor, Rajkummar Rao",India,Hindi,,5.6,4417.0,,,"$3,531,837","lesbian,coming out,societal barrier,culture,religion","Awards, 1 nomination"
Jagat,,,KL POST Sdn Bhd,tt5143450,,Jagat,2015-12-17,Shanjey Kumar Perumal,"Karnan G. Crack, Tinesh Sarathi Krishnan, Kuben Mahadevan",Malaysia,Tamil,,6.9,171.0,,,,"drug,gangsterism,cell phone,beer,kid fight","Awards, 6 nominations"
Love O2O,,,Netflix,tt6091936,,Love O2O,2016-08-12,Tianyu Zhao,"Angelababy, Boran Jing, Yu Bai",China,Mandarin,TV-14,6.3,1070.0,,,"$39,969,537","web novel,china,based on novel",
Pinky Memsaab,,,"Shaz Media Productions, Shoot At Sight",tt8529070,,Pinky Memsaab,2018-12-07,Shazia Ali Khan,"Hajra Yamin, Kiran Malik, Adnan Jaffar","Pakistan, United Arab Emirates","Urdu, English, Punjabi, Bhojpuri",,6.3,535.0,,,,maid,"Awards, 1 nomination"
The Trap,Sidney Hayers,male,Paramount Pictures,tt0053374,,,,,,,,,,,,,,,
Mercy Black,,,"Divide/Conquer, Meridian Entertainment",tt8758086,4.6/10,Mercy Black,2019-03-30,Owen Egerton,"Daniella Pineda, Austin Amelio, Elle LaMont",USA,English,TV-14,4.9,3757.0,48.0,,"$203,489","murder,evil spirit,latina,mexican american,stabbed in the eye",
The Burial of Kojo,Blitz the Ambassador,male,Wheel Barrow Productions,tt7497366,100%,The Burial of Kojo,2019-03-29,Blitz Bazawule,"Joseph Otsiman, Mamley Djangmah, Kobina Amissah-Sam","Ghana, USA","Akan, English",,6.4,719.0,93.0,,,rescue,"Awards, 3 wins & 3 nominations"
15 August,Patrick Alessandrin,male,Netflix,tt0271935,,,,,,,,,,,,,,,
Bayonet,Ferdinando Maria Poggioli,male,Ente Nazionale Industrie Cinematografiche,tt0027309,,,,,,,,,,,,,,,
The Highwaymen,John Lee Hancock,male,Netflix,tt1860242,6/10,The Highwaymen,2019-03-29,John Lee Hancock,"Kevin Costner, Woody Harrelson, Kathy Bates",USA,"English, Spanish",R,6.9,90701.0,58.0,"$49,000,000 (estimated)",,"based on true story,1930s,coffeyville kansas,bonnie and clyde,texas ranger","Awards, 2 nominations"
Verses of Love,Hanung Bramantyo,male,MD Entertainment,tt1198186,,Verses of Love,2008-02-28,"Hanung Bramantyo, Iqbal Rais","Fedi Nuril, Rianti Cartwright, Carissa Putri",Indonesia,"Indonesian, Arabic",Not Rated,6.9,1171.0,,,"$207,595","love,parent,muslim,married,student","Awards, 1 nomination"
Sei,,,Trippy Turtle Production,tt5820544,,Sei,2018-11-16,,"Nakhul, Aanchal Munjal, Chandrika Ravi",India,Tamil,,4.1,69.0,,,,actor,
Mirage,Edward Dmytryk,male,Netflix,tt0368962,6.5/10,,,,,,,,,,,,,,
The Dirt,Jeff Tremaine,male,Netflix,tt0800325,4.6/10,The Dirt,2019-03-22,Jeff Tremaine,"Douglas Booth, Iwan Rheon, Colson Baker",USA,English,TV-MA,6.9,49255.0,39.0,,,"music band,guitarist,bass,bassist,singer","Awards, 1 win"
The Amazing Praybeyt Benjamin,Wenn V. Deramas,male,Star Cinema,tt3828220,,The Amazing Praybeyt Benjamin,2014-12-25,Wenn V. Deramas,"Vice Ganda, James Bimby Aquino, Richard Yap",Philippines,"Filipino, Tagalog, English, French",TV-PG,4.1,198.0,,,,"supernatural power,soldier,europe,military,rescue","Awards, 2 wins & 3 nominations"
The Third Party,Jason Paul Laxamana,male,Star Cinema,tt6088634,,The Third Party,2016-10-12,Jason Paul Laxamana,"Angel Locsin, Zanjoe Marudo, Sam Milby",Philippines,"Filipino, Tagalog",,6.1,276.0,,,"$10,323",love,"Awards, 1 nomination"
The Unmarried Wife,Maryo J. de los Reyes,male,Star Cinema,tt5755796,,The Unmarried Wife,2016-11-25,Maryo J. de los Reyes,"Angelica Panganiban, Dingdong Dantes, Paulo Avelino",Philippines,"Tagalog, Filipino",,6.1,193.0,,,"$196,506",,"Awards, 2 wins & 19 nominations"
