id,title,director,director gender,distributor,rating score,title_imdb,release_date,directors,cast,countries,languages,rating,imDbRating,imDbRatingVotes,budget,cumulativeWorldwideGross,keywords,awards,relese_year
tt1294955,Total Wipeout,no_data,no_data,BBC,,Total Wipeout,2009-01-03,,"Richard Hammond, Amanda Byram, Ruth Glaser","UK, Argentina",English,,5.9,1490,,,"timeframe 2000s,physical game show,obstacle course,balance beam,seesaw","Awards, 1 nomination",2009.0
tt6517320,Too Old to Die Young,Nicolas Winding Refn,male,Amazon Prime Video,70,Too Old to Die Young,2019-06-14,,"Miles Teller, Augusto Aguilera, Nell Tiger Free",USA,English,TV-MA,7.3,9069,,,"vigilantism,contract killer,female frontal nudity,underage girlfriend,spitting",,2019.0
tt1179301,Tokyo Girl,Shun'ichi Hirano,male,BS-TBS,,Tôkyô shônen,2008-02-02,Shun'ichi Hirano,"Maki Horikita, Takuya Ishida, Reiko Kusamura",Japan,Japanese,,6.1,216,,,,,2008.0
tt0435585,ToddWorld,no_data,no_data,TLC,,ToddWorld,2004-11-08,,"Justin Fletcher, Joanna Ruiz, Jennifer Wiltsie","USA, Canada, Ireland, India",English,TV-Y,7.3,68,,,boy,"Awards, 7 nominations",2004.0
no_data,Toca Life Stories,no_data,no_data,no_data,no_data,,,,,,,,,,,,,,
tt4607112,Tin Star,no_data,no_data,Sky Atlantic,60,Tin Star,2017-09-29,,"Tim Roth, Genevieve O'Reilly, Abigail Lawrie","UK, Canada, USA",English,TV-MA,7.2,14461,,,"rocky mountains,police chief,canadian rockies,troubled past,oil company","Awards, 2 wins & 6 nominations",2017.0
tt1556097,Time Team America,no_data,no_data,"Oregon Public Broadcasting, Videotext Communications",,Time Team America,2009-07-08,,"Meg Watters, Chelsea Rose, Bryan Haley",USA,English,TV-PG,6.9,39,,,non fiction,,2009.0
no_data,Threesome,no_data,no_data,no_data,no_data,,,,,,,,,,,,,,
tt0383151,THEM,no_data,no_data,10 by 10 Entertainment,,T.H.E.M.,2004-06-23,,"Danny Cole, Erik Seidenglanz, Brynn Lucas",USA,English,TV-14,7.9,25,,,,,2004.0
tt0166937,The Wubbulous World of Dr. Seuss,no_data,no_data,Nickelodeon,,The Wubbulous World of Dr. Seuss,1996-10-13,,"Anthony Asbury, Stephanie D'Abruzzo, John Kennedy",USA,English,TV-Y,6.6,175,,,"puppet,the cat in the hat character,the grinch character,horton the elephant character,sam i am character","Nominated for 2 Primetime Emmys, 1 win & 8 nominations total",1996.0
