id,title,director,director gender,distributor,rating score,title_imdb,release_date,directors,cast,countries,languages,rating,imDbRating,imDbRatingVotes,budget,cumulativeWorldwideGross,keywords,awards,relese_year
tt0082288,Dragonslayer,Matthew Robbins,male,Paramount Pictures,85%,Dragonslayer,1981-06-26,Matthew Robbins,"Peter MacNicol, Caitlin Clarke, Ralph Richardson",USA,"English, Latin",PG,6.6,18129.0,"$18,000,000 (estimated)","$14,110,013","psychotronic film,dragon,wizard,unlikely hero,knight","Nominated for 2 Oscars, 7 nominations total",1981.0
tt1735862,Dragon Eyes,John Hyams,male,Netflix,,Dragon Eyes,2014-10-09,John Hyams,"Cung Le, Jean-Claude Van Damme, Johnny Holmes",USA,"English, Italian, Spanish",R,4.4,6049.0,"$3,000,000 (estimated)",,"nipple piercing,piercing,vietnam war veteran,body part in title,animal in title",,2014.0
tt0080658,Dr. Heckyl and Mr. Hype,Charles B. Griffith,male,The Cannon Group,,Dr. Heckyl and Mr. Hype,,Charles B. Griffith,"Oliver Reed, Sunny Johnson, Maia Danziger",USA,English,R,4.0,657.0,,,"psychotronic film,electrocution,weight loss,flat feet,car salesman","Awards, 1 win",
tt0057007,Donovan's Reef,John Ford,male,Paramount Pictures,50%,Donovan's Reef,1963-07-19,John Ford,"John Wayne, Lee Marvin, Elizabeth Allen",USA,"English, French",Approved,6.7,8978.0,"$2,686,585 (estimated)",,"half brother,south pacific,pacific island,biracial child,polynesia",,1963.0
,Doe,Kim Su-hyeong,male,,,,,,,,,,,,,,,,
tt0027532,Dodsworth,William Wyler,male,United Artists Corporation,90%,Dodsworth,1936-09-23,William Wyler,"Walter Huston, Ruth Chatterton, Paul Lukas",USA,"English, French, German, Italian",Passed,7.8,9242.0,,,"character name as title,surname as title,cheating wife,title appears in writing,newspaper headline","Won 1 Oscar, 3 wins & 9 nominations total",1936.0
tt0054823,Doctor Blood's Coffin,Sidney J. Furie,male,United Artists Corporation,,Doctor Blood's Coffin,,Sidney J. Furie,"Kieron Moore, Hazel Court, Ian Hunter",UK,English,Unrated,4.9,923.0,,,"police cruiser,mine,coast,bald man,convertible car",,
tt0039324,Dishonored Lady,Hunt Stromberg,male,United Artists Corporation,,Dishonored Lady,1947-05-16,Robert Stevenson,"Hedy Lamarr, Dennis O'Keefe, John Loder",USA,English,Approved,6.5,1436.0,,,"motorcycle cop,woman smoking,car crash,binocular microscope,nightclub",,1947.0
tt0074412,Disco Godfather,,,Netflix,83%,Disco Godfather,,J. Robert Wagoner,"Rudy Ray Moore, Carol Speed, Jimmy Lynch",USA,English,R,5.2,1602.0,"$700,000 (estimated)",,"disco,blaxploitation film,reference to angel dust,black cop,dance floor",,
tt0109627,Dinosaur Island,Jim Wynorski,male,Netflix,,,,,,,,,,,,,,,
tt0118980,Digging to China,Timothy Hutton,male,,4.4/10,Digging to China,1998-09-11,Timothy Hutton,"Evan Rachel Wood, Kevin Bacon, Mary Stuart Masterson",USA,English,PG,6.7,2767.0,,"$43,961","loss of mother,sister,dying,car accident,cancer","Awards, 2 nominations",1998.0
tt0116095,Diabolique,Jeremiah S. Chechik,male,Netflix,4/10,Diabolique,1996-03-22,Jeremiah S. Chechik,"Sharon Stone, Isabelle Adjani, Chazz Palminteri",USA,"English, Spanish",R,5.4,14442.0,,"$17,100,266","stockings,woman on top,dead body in a bathtub,dead body in a car,death in a bathtub","Awards, 2 wins & 1 nomination",1996.0
tt6027478,Dhruva,Surender Reddy,male,Geetha Arts,,,,,,,,,,,,,,,
